# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu/cycles/Pu'
# Event count (approx.): 130518550148
#
# Overhead       Samples  Command  Shared Object     Symbol                                                                                                                      
# ........  ............  .......  ................  ............................................................................................................................
#
     9.34%           467  hark     hark              [.] ns_rtt.RttCache.isDead
     8.48%           445  hark     hark              [.] Io.RwLock.unlockShared
     7.91%           418  hark     hark              [.] recursive.RecursiveResolver.queryAuthoritativeServers
     6.11%           347  hark     hark              [.] heap.ArenaAllocator.alloc
     4.18%           216  hark     hark              [.] hash.wyhash.Wyhash.final
     3.99%           237  hark     hark              [.] compiler_rt.memcpy.memcpyFast
     3.83%           222  hark     hark              [.] cache.RRsetCache.lookup
     2.93%           157  hark     hark              [.] hash_map.HashMapUnmanaged(net_address.AddressKey,ns_rtt.RttState,net_address.AddressKey.HashCtx,80).getIndex__anon_48815
     2.89%           164  hark     hark              [.] hash.wyhash.Wyhash.update
     2.61%           156  hark     hark              [.] array_hash_map.Custom(cache.CacheKey,cache.CacheEntry,cache.CacheKeyContext,true).getIndexAdapted__anon_38070
     2.41%           120  hark     hark              [.] cache.RRsetCache.storeRRsetsExcept
     2.39%           217  hark     [vdso]            [.] __vdso_clock_gettime
     2.28%           133  hark     hark              [.] counting_allocator.CountingAllocator.countingAlloc
     1.94%           177  hark     hark              [.] server.WorkerState.poolThread
     1.83%            99  hark     hark              [.] ns_selector.NsSelector.recordOutcome
     1.81%           109  hark     hark              [.] dns.parseMessage
     1.80%            92  hark     hark              [.] heap.SmpAllocator.free
     1.74%           101  hark     hark              [.] cache.removeAtIndex
     1.53%            78  hark     hark              [.] recursive.RecursiveResolver.resolveImpl
     1.51%            75  hark     hark              [.] dedup.InFlightTable.acquireOrWaitImpl
     1.26%           109  hark     hark              [.] server.Server.runWorker
     1.25%            59  hark     hark              [.] server.WorkerState.resolveQueryWith
     1.20%            85  hark     hark              [.] Io.RwLock.lockUncancelable
     1.15%           111  hark     [unknown]         [k] 0xffffffff8d200080
     1.14%            98  hark     hark              [.] ns_rtt.RttCache.recordSuccess
     1.03%           236  hark     hark              [.] Io.Threaded.batchAwaitConcurrent
     0.97%            44  hark     hark              [.] Random.init__anon_49889.gen.fill
     0.86%            39  hark     hark              [.] Io.Threaded.randomMainThread
     0.83%            47  hark     hark              [.] ns_selector.gammaSample
     0.83%            46  hark     hark              [.] mem.findScalarPos__anon_16357
     0.75%            52  hark     hark              [.] server.WorkQueue.push
     0.74%            37  hark     hark              [.] recursive.RecursiveResolver.findClosestCachedDelegation
     0.73%            40  hark     hark              [.] dedup.InFlightTable.releaseLeader
     0.73%            49  hark     hark              [.] dns.Serializer.writeRecordFields
     0.65%            50  hark     [unknown]         [k] 0xffffffff8d200087
     0.64%            40  hark     [unknown]         [k] 0xffffffff8d20008f
     0.61%            29  hark     hark              [.] cache.RRsetCache.prepareSlot
     0.60%            29  hark     hark              [.] server.WorkerState.resolveWithDedupUsing
     0.60%            36  hark     hark              [.] counting_allocator.CountingAllocator.countingRemap
     0.52%            31  hark     hark              [.] heap.SmpAllocator.alloc
     0.49%            32  hark     hark              [.] dns.serializeMessage
     0.49%            29  hark     hark              [.] counting_allocator.CountingAllocator.countingFree
     0.47%            34  hark     hark              [.] heap.ArenaAllocator.reset
     0.44%            31  hark     hark              [.] array_list.Aligned(dns.Question,null).toOwnedSlice
     0.40%            28  hark     hark              [.] hash_map.HashMapUnmanaged(ns_selector.ArmKey,ns_selector.ArmState,ns_selector.ArmKeyContext,80).getIndex__anon_48236
     0.39%            21  hark     hark              [.] Io.Writer.alignBufferOptions
     0.39%            37  hark     [unknown]         [k] 0xffffffff8d304104
     0.37%            24  hark     hark              [.] recursive.RecursiveResolver.serverTimeout
     0.37%            23  hark     hark              [.] array_list.Aligned(dns.ResourceRecord,null).toOwnedSlice
