# hark throughput sweep — 2026-05-07T23:19:11Z
# duration=10s inflight=1000 workers=2 latency_ms=0
# cache.size=16777216 cache.entries=10000
# workload  threads     totqps   noerrqps     servfail%   lost%
  hit       8           348896     348896            0     0.04
  hit       32          331948     331948            0     0.04
  hit       128         328076     328076            0     0.05
  hit       256         324405     324405            0     0.04
  miss      8           292124     184710        36.77     0.04
  miss      32          330295     142819        56.76     0.02
  miss      128         324819     135872        58.17     0.02
  miss      256         319537     123214        61.44     0.01
  mix       8           291366     291220         0.05     0.05
  mix       32          294471     292086         0.81     0.05
  mix       128         298612     271409         9.11     0.03
  mix       256         288873     269663         6.65     0.03
