# hark throughput sweep — 2026-05-08T06:28:39Z
# build=ReleaseFast duration=10s inflight=1000 workers=2 latency_ms=0
# cache.size=16777216 cache.entries=10000
# workload  threads     totqps   noerrqps     servfail%   lost%
  hit       8           359552     359552            0     0.04
  hit       32          331801     331801            0     0.03
  hit       128         326411     326411            0     0.03
  hit       256         187040     187040            0     0.00
  miss      8           248745     248745            0     0.06
  miss      32          218258     218258            0     0.07
  miss      128         213523     213523            0     0.06
  miss      256         207733     207712         0.01     0.05
  mix       8           330297     330297            0     0.04
  mix       32          295338     295338            0     0.05
  mix       128         294451     294451            0     0.03
  mix       256         298643     298643            0     0.01
